uf,profissional,metrica_1,metrica_2
AC,b'gAAAAABlvSCBv6YBS0MVX0gpj_lZ46VDWNenGzIIiuutQyAVRqEObUKPatL7uFb_pQBuxrKAa9dETM9cLq_3iU5SLmLw-NDhJVtVMPgv98g6kpO9rXnmtGBxouyeP9Qm3NjBNSag-MPE',1,0
AL,b'gAAAAABlvSCBDCUtuNfCCfcVKz5fa41fJViPAaEPXikXOFKEr2a-TIZ_Cuh7tQsdG5J-NYUMAHvYPTyOVg0YRxSadQ3gL2QVEOYL-xgPtJqVBnt4drPrFbY=',7,9
AL,b'gAAAAABlvSCBTYTi1NWF8BB25BTHBKRmYLvJB7ZyBpK48atip0hBuZPjWsuwDOrKw5TZms0x9ajAEPFQEiqsbHEMw-eAxjHk15mZOvzH1RIFZmUdSKeGgmo=',8,6
AL,b'gAAAAABlvSCBA1jGDhwiczI_0UBT3XDyQL1nJ1P8pviNwvPNzoIg6-5VZi3-SGTYL5dzfDnLpdZ7HlDsCkqcvA4ZVKuMayJnhouU8QwHn_ZpIUHLu1eHmWrFGEu98RCjCwq4MItaeORL',3,5
AL,b'gAAAAABlvSCBiAOl4XTb8ZAXk1umWQaWFZ-1b3KmZkVNOBj4yNXX4hz3w3KqIs9E12sPSJ-o3Od1Tgk48kkSgkbsYfA2e0Jyvl44uLFYQOuaO1MabGjHekY=',1,2
AL,b'gAAAAABlvSCBOcZWFB6tMbFZ249BdHPm18CF50KIN_6WuZc9HrsRoizx47pXvlQH7awGRkEGJefh-udoNZ41PZF395aP0omPkRYMTqTdX5h8WR1yRn2EXKo=',3,7
AL,b'gAAAAABlvSCBHihcuvGFUFJbmVg7VEDvGeP6PUWQzifTR6dQ4lvOqnxCIoJX5BaF33ZK5nHMcYFHu35dHPYeT56mSQwNfPQ9LIJ9ELLtlBzQW440zsSbmx-Iwl2JXACKguFoDt1YW-Aq',5,9
AL,b'gAAAAABlvSCBezUbM1iktwXYs2hfYGEWeVCjFPAOhzAjXo1G6brqW8kE0RW616s_jQJhghJWTuHX3R4h-pjHh7tWMXXn8u_KWvmNzF0KF9V4OtLvMSbJDSg=',5,6
AL,b'gAAAAABlvSCBY1nVNsHZsWeYm5JOy_Bv6YFRjNnY9unzyHlLYv9GNFPmzE3SNXtRgIpvAoMl72NlDyTQ5Lo46mO6r0ZwtDl7G5-wi2HkzrsqMUr2-hs8cLA=',60,30
AL,b'gAAAAABlvSCBkXOnzU9pHlAfdh9izwH4ATsT4a5Oz7GaFgEYihPmz571UBH7V_nMVrrp9wmRZ6fsFW1hlHzTqvcdyTkfuWV8-xwyaH8XtjnMfbql91HvGXA=',1,8
